0 democratic	democratic7	energy	random	static
0 0 0	0 0	0 0	0 0	0 0
1 0.190251 2.72552	0.241207 2.67878	0.442697 0.594849	0.553102 0.526073	1.44271 0.519524
2 0.310868 3.23997	0.267657 3.02407	0.220051 1.14884	0.866093 1.06344	2.917 1.05139
3 0.183803 3.75257	0.298635 3.41758	0.367824 1.7582	1.05738 1.59124	4.38638 1.58184
4 0.297 4.28517	0.194333 3.78466	0.280863 2.29042	1.20335 2.10678	5.8275 2.10059
5 0.224761 4.80515	0.292301 4.17391	0.303576 2.91332	1.34231 2.64918	7.32956 2.64285
6 0.287022 5.34261	0.26386 4.57698	0.30779 3.47683	1.50017 3.19009	8.79768 3.17248
7 0.230984 5.86109	0.20082 4.93619	0.254989 4.09085	1.6832 3.73015	10.2989 3.71483
8 0.268367 6.39825	0.278294 5.31948	0.294214 4.63671	1.83298 4.2579	11.7575 4.24096
9 0.249488 6.91217	0.235731 5.71492	0.253868 5.23763	1.98444 4.79762	13.2414 4.77651
10 0.271034 7.4598	0.247265 6.08595	0.305199 5.80742	2.07303 5.33031	14.7368 5.31603
11 0.242293 7.97413	0.289464 6.4795	0.247121 6.39892	2.17118 5.8703	16.227 5.85431
12 0.249231 8.50892	0.206756 6.86127	0.310964 6.98268	2.31233 6.41026	17.7215 6.39438
13 0.244592 9.01532	0.273691 7.23546	0.245592 7.55492	2.38245 6.92183	19.1732 6.91735
14 0.23521 9.54507	0.272626 7.61979	0.31326 8.13156	2.43546 7.45467	20.6552 7.45242
15 0.27375 10.0606	0.201616 7.99101	0.231313 8.70378	2.53032 8.00074	22.1437 7.98911
16 0.221139 10.6064	0.295974 8.38666	0.324869 9.31219	2.65635 8.55062	23.6659 8.53945
17 0.275775 11.1262	0.244485 8.78781	0.253471 9.89169	2.76705 9.09106	25.1701 9.08316
18 0.216166 11.6621	0.241002 9.15092	0.314324 10.4821	2.84428 9.62744	26.6662 9.62308
19 0.262546 12.1785	0.288736 9.54452	0.237135 11.0494	2.94579 10.1555	28.1353 10.1527
20 0.244589 12.708	0.197169 9.91644	0.3007 11.6427	3.06651 10.7	29.6175 10.6874
21 0.249243 13.2351	0.268879 10.2928	0.243691 12.2123	3.16661 11.2401	31.0995 11.2226
22 0.242348 13.7565	0.24242 10.6869	0.283945 12.7942	3.26163 11.7696	32.5773 11.7559
23 0.247582 14.2795	0.227779 11.0539	0.252345 13.3658	3.31251 12.314	34.0752 12.2975
24 0.226485 14.8088	0.276635 11.4454	0.279946 13.9645	3.41118 12.8532	35.5762 12.8399
25 0.275883 15.3455	0.22777 11.8418	0.26276 14.5459	3.49984 13.4013	37.0936 13.3882
26 0.212465 15.8725	0.243598 12.2137	0.274441 15.139	3.57582 13.9384	38.5932 13.93
27 0.28931 16.4073	0.273235 12.6123	0.254744 15.7092	3.63979 14.4787	40.0905 14.4714
28 0.233957 16.9376	0.232162 12.996	0.294316 16.3221	3.7038 15.0259	41.6011 15.018
29 0.272769 17.4703	0.265256 13.3783	0.270458 16.8909	3.82141 15.5741	43.1076 15.5624
30 0.262698 18.0047	0.247054 13.7766	0.29308 17.5096	3.95679 16.1196	44.6365 16.1157
31 0.252292 18.5298	0.240864 14.1521	0.292692 18.0764	4.0231 16.6522	46.1259 16.6536
32 0.255986 19.0518	0.252298 14.5396	0.254548 18.6714	4.08917 17.1867	47.628 17.1961
33 0.243073 19.5995	0.243929 14.9247	0.309271 19.2502	4.14657 17.7261	49.1281 17.7383
34 0.272163 20.1287	0.248789 15.3181	0.226419 19.8503	4.17959 18.2653	50.6592 18.2925
35 0.211521 20.6507	0.241699 15.6987	0.297723 20.4235	4.25166 18.7908	52.1379 18.8258
36 0.284979 21.1741	0.257462 16.0783	0.246427 21.0069	4.32726 19.3314	53.6416 19.3693
37 0.213256 21.6995	0.230546 16.4578	0.291284 21.588	4.41858 19.8708	55.1243 19.9044
38 0.283154 22.2162	0.243892 16.8349	0.270086 22.1588	4.47281 20.3877	56.6039 20.4381
