democratic	democratic7	energy	random	static
1 50.8333	1 50.8333	1 5.2	1 4.85	
2 4	2 1.66667	2 4.36667	2 4.95	
3 5.16667	3 3.2	3 5.63333	3 5.2	
4 4.66667	4 3.46667	4 3.46667	4 5.18333	
5 4.26667	5 3.23333	5 5.25	5 5.18333	
6 4.68333	6 3.85	6 4.06667	6 5.15	
7 4.26667	7 2.51667	7 5	7 5	
8 4.86667	8 3.15	8 3.96667	8 5.18333	
9 4.41667	9 4.1	9 5.43333	9 5.26667	
10 5.23333	10 3.11667	10 3.88333	10 4.81667	
11 4.35	11 3.51667	11 5.51667	11 5.11667	
12 4.9	12 3.43333	12 4.16667	12 5.46667	
13 4.2	13 2.86667	13 4.91667	13 4.76667	
14 4.85	14 3.58333	14 4.28333	14 4.83333	
15 4	15 3.45	15 4.7	15 5.43333	
16 5.13333	16 2.73333	16 4.61667	16 5.16667	
17 4.16667	17 3.56667	17 4.71667	17 4.6	
18 5.78333	18 2.7	18 4.53333	18 4.95	
19 4.11667	19 3.51667	19 4.68333	19 5.1	
20 5.85	20 3.75	20 4.93333	20 5.48333	
21 4.46667	21 2.73333	21 4.41667	21 5.35	
22 4.76667	22 3.75	22 5.2	22 4.98333	
23 4.41667	23 3.11667	23 4.06667	23 5.23333	
24 4.76667	24 2.96667	24 5.25	24 4.98333	
25 4.93333	25 4.05	25 4.13333	25 5.51667	
26 4.38333	26 2.68333	26 5.21667	26 5.08333	
27 5.01667	27 3.9	27 4.38333	27 5.28333	
28 4.25	28 3.08333	28 5.23333	28 5.13333	
29 4.53333	29 2.55	29 4.53333	29 5.33333	
30 4.61667	30 3.88333	30 5.11667	30 5.21667	
31 4.38333	31 3.01667	31 4.35	31 4.8	
32 4.58333	32 3.61667	32 4.95	32 5.33333	
33 5.58333	33 3.18333	33 4.65	33 5.31667	
34 4.46667	34 3.28333	34 4.65	34 5.16667	
35 4.66667	35 3.3	35 4.88333	35 5.13333	
36 4.71667	36 3.23333	36 4.58333	36 5.35	
37 4.53333	37 3.31667	37 4.91667	37 4.95	
38 4.83333	38 3.38333	38 4.6	38 4.43333	
39 4.93333	39 3.43333	39 4.78333	39 5.23333	
40 4.28333	40 3.16667	40 4.46667	40 4.81667	
41 5.25	41 3.16667	41 4.53333	41 5.58333	
42 3.98333	42 3.66667	42 4.61667	42 4.95	
43 5.25	43 3.28333	43 4.61667	43 4.96667	
44 4.38333	44 3.15	44 4.63333	44 5.33333	
45 4.85	45 3.3	45 4.78333	45 5.21667	
46 4.78333	46 3.43333	46 4.95	46 4.6	
47 4.25	47 3.48333	47 4.63333	47 4.7	
48 5.31667	48 3.31667	48 5.08333	48 5.18333	
49 4.11667	49 3.06667	49 4.4	49 5.16667	
50 4.91667	50 3.43333	50 4.91667	50 4.85	
51 4.43333	51 3.23333	51 4.81667	51 5.38333	
52 4.83333	52 3.43333	52 4.53333	52 5.41667	
53 4.73333	53 3.31667	53 5.06667	53 4.73333	
54 4.63333	54 3.18333	54 4.3	54 5.65	
55 4.88333	55 3.36667	55 5.13333	55 5.18333	
56 4.53333	56 3.15	56 4.31667	56 5.21667	
57 5.05	57 3.28333	57 4.91667	57 4.73333	
58 4.65	58 3.33333	58 4.48333	58 4.9	
59 4.88333	59 3.25	59 4.98333	59 5.18333	
60 4.7	60 3.36667	60 4.48333	60 4.76667	
