0 democratic	democratic7	energy	random	static
0 0 0	0 0	0 0	0 0	0 0
1 0.190251 2.72552	0.241207 2.67878	0.442697 0.594849	0.553102 0.526073	1.44271 0.519524
2 0.310868 3.23997	0.267657 3.02407	0.220051 1.14884	0.866093 1.06344	2.78407 1.01062
3 0.183803 3.75257	0.298635 3.41758	0.367824 1.7582	1.05738 1.59124	2.91707 1.11078
4 0.297 4.28517	0.194333 3.78466	0.280863 2.29042	1.20335 2.10678	2.92898 1.16183
5 0.224761 4.80515	0.292301 4.17391	0.303576 2.91332	1.34231 2.64918	2.91461 1.20523
6 0.287022 5.34261	0.26386 4.57698	0.30779 3.47683	1.50017 3.19009	2.90031 1.24846
7 0.230984 5.86109	0.20082 4.93619	0.254989 4.09085	1.68302 3.73009	2.88579 1.29233
8 0.268367 6.39825	0.278294 5.31948	0.294214 4.63671	1.80622 4.24866	2.87185 1.33447
9 0.249488 6.91217	0.235731 5.71492	0.253868 5.23763	1.92493 4.77426	2.85757 1.37765
10 0.271034 7.4598	0.247265 6.08595	0.305199 5.80742	1.98452 5.29042	2.84336 1.42068
11 0.242293 7.97413	0.289464 6.4795	0.247121 6.39892	2.04226 5.80165	2.82899 1.46406
12 0.249231 8.50892	0.206756 6.86127	0.310964 6.98268	2.10323 6.2859	2.81456 1.50767
13 0.244592 9.01532	0.273691 7.23546	0.245592 7.55492	2.09316 6.72144	2.80087 1.54904
14 0.23521 9.54507	0.272626 7.61979	0.31326 8.13156	2.01968 7.144	2.78666 1.59201
15 0.0996877 9.90995	0.201616 7.99101	0.231313 8.70378	1.9699 7.53857	2.77261 1.63449
16 0.000576138 10.0004	0.295974 8.38666	0.324869 9.31219	1.9079 7.88736	2.75786 1.67914
17 0.000576138 10.0004	0.244485 8.78781	0.158129 9.82462	1.82946 8.1889	2.74329 1.7232
18 0.000576138 10.0004	0.241002 9.15092	0.00881265 9.99809	1.74149 8.45814	2.72903 1.76636
19 0.000576138 10.0004	0.288736 9.54452	0.000591219 10.0005	1.62496 8.67849	2.71528 1.80789
20 0.000576138 10.0004	0.134793 9.86442	0.000591219 10.0005	1.52731 8.86934	2.70122 1.85037
21 0.000576138 10.0004	0.0249232 9.99095	0.000591219 10.0005	1.43327 9.02523	2.68704 1.89322
22 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	1.33279 9.15827	2.67299 1.93556
23 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	1.237 9.2824	2.6585 1.97946
24 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	1.13752 9.39358	2.64413 2.02285
25 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	1.05656 9.47575	2.62955 2.06682
26 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.964827 9.55537	2.61516 2.11036
27 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.902006 9.61764	2.60076 2.15381
28 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.825802 9.67488	2.58613 2.19807
29 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.779716 9.71029	2.57179 2.24174
30 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.726146 9.74557	2.55699 2.28647
31 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.672773 9.77757	2.54283 2.32923
32 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.621663 9.80246	2.52858 2.37234
33 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.572554 9.82525	2.51419 2.41579
34 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.532359 9.84492	2.49933 2.46066
35 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.491889 9.86237	2.48553 2.50239
36 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.446896 9.88104	2.47116 2.546
37 0.000576138 10.0004	0.00074586 10.0006	0.000591219 10.0005	0.421654 9.89366	2.45724 2.58818
