democratic	democratic7	energy	random	static
1 50.8333	1 50.8333	1 5.2	1 4.85	
2 4	2 1.66667	2 4.36667	2 4.95	
3 5.16667	3 3.2	3 5.63333	3 5.2	
4 4.66667	4 3.46667	4 3.46667	4 5.18333	
5 4.26667	5 3.23333	5 5.25	5 5.18333	
6 4.68333	6 3.85	6 4.06667	6 5.15	
7 4.26667	7 2.51667	7 5	7 5	
8 4.86667	8 3.15	8 3.96667	8 5.18333	
9 4.41667	9 4.1	9 5.43333	9 5.26667	
10 5.23333	10 3.11667	10 3.88333	10 4.81667	
11 4.35	11 3.51667	11 5.51667	11 5.11667	
12 4.9	12 3.43333	12 4.16667	12 5.46667	
13 4.2	13 2.86667	13 4.91667	13 4.76667	
14 4.85	14 3.58333	14 4.28333	14 4.83333	
15 4	15 3.45	15 4.7	15 5.43333	
16 5.13333	16 2.73333	16 4.61667	16 5.16667	
17 4.16667	17 3.56667	17 4.71667	17 4.6	
18 5.78333	18 2.7	18 4.53333	18 4.95	
19 4.11667	19 3.51667	19 4.68333	19 5.08333	
20 5.85	20 3.75	20 4.93333	20 5.45	
21 4.46667	21 2.73333	21 4.41667	21 5.33333	
22 4.76667	22 3.75	22 5.2	22 4.96667	
23 4.41667	23 3.11667	23 4.06667	23 5.18333	
24 4.76667	24 2.96667	24 5.25	24 4.83333	
25 4.93333	25 4.05	25 4.13333	25 5.25	
26 4.38333	26 2.68333	26 5.21667	26 4.7	
27 5.01667	27 3.9	27 4.38333	27 5	
28 4.25	28 3.08333	28 5.23333	28 4.75	
29 4.53333	29 2.55	29 4.53333	29 4.55	
30 4.61667	30 3.88333	30 5.11667	30 3.98333	
31 4.38333	31 3.01667	31 4.35	31 4	
32 4.58333	32 3.61667	32 4.95	32 3.8	
33 5.58333	33 3.18333	33 4.65	33 3.85	
34 4.45	34 3.28333	34 4.63333	34 3.71667	
35 3.45	35 3.3	35 4.71667	35 3.18333	
36 0	36 3.23333	36 0.1	36 2.93333	
37 0	37 3.31667	37 0	37 2.61667	
38 0	38 3.38333	38 0	38 1.68333	
39 0	39 3.43333	39 0	39 2.33333	
40 0	40 3.16667	40 0	40 2.06667	
41 0	41 3.16667	41 0	41 1.36667	
42 0	42 3.66667	42 0	42 1.5	
43 0	43 3.28333	43 0	43 1.7	
44 0	44 3.15	44 0	44 1.1	
45 0	45 3.3	45 0	45 1.03333	
46 0	46 3.43333	46 0	46 0.766667	
47 0	47 3.41667	47 0	47 0.65	
48 0	48 0.983333	48 0	48 0.683333	
49 0	49 0	49 0	49 0.65	
50 0	50 0	50 0	50 0.533333	
51 0	51 0	51 0	51 0.5	
52 0	52 0	52 0	52 0.483333	
53 0	53 0	53 0	53 0.233333	
54 0	54 0	54 0	54 0.333333	
55 0	55 0	55 0	55 0.216667	
56 0	56 0	56 0	56 0.1	
57 0	57 0	57 0	57 0.116667	
58 0	58 0	58 0	58 0.15	
59 0	59 0	59 0	59 0.1	
60 0	60 0	60 0	60 0.1	
