democratic	democratic7	energy	random	static
0.166667 61	0.166667 61	0.166667 6	0.166667 6	0 6
0.333333 61	0.333333 61	0.333333 5	0.333333 3	3.61858 5
0.5 61	0.5 61	0.5 7	0.5 6	3.62353 4
0.666667 61	0.666667 61	0.666667 7	0.666667 1	3.65668 3
0.833333 61	0.833333 61	0.833333 6	0.833333 5	3.7782 2
1 61	1 61	1 5	1 6	3.87612 1
1.16667 2	1.16667 2	1.16667 7	1.16667 4	4.00212 0
1.33333 3	1.33333 2	1.33333 6	1.33333 8	
1.5 7	1.5 2	1.5 6	1.5 7	
1.66667 7	1.66667 2	1.66667 6	1.66667 6	
1.83333 5	1.83333 2	1.83333 2	1.83333 6	
2 4	2 4	2 4	2 7	
2.16667 6	2.16667 5	2.16667 6	2.16667 6	
2.33333 7	2.33333 4	2.33333 7	2.33333 7	
2.5 9	2.5 2	2.5 6	2.5 4	
2.66667 6	2.66667 4	2.66667 8	2.66667 8	
2.83333 3	2.83333 4	2.83333 5	2.83333 7	
3 3	3 6	3 8	3 5	
3.16667 4	3.16667 7	3.16667 8	3.16667 6	
3.33333 6	3.33333 4	3.33333 3	3.33333 5	
3.5 9	3.5 6	3.5 4	3.5 9	
3.66667 4	3.66667 2	3.66667 3	3.66667 5	
3.83333 5	3.83333 2	3.83333 3	3.83333 6	
4 8	4 2	4 5	4 8	
4.16667 7	4.16667 2	4.16667 6	4.16667 5	
4.33333 8	4.33333 4	4.33333 7	4.33333 7	
4.5 5	4.5 5	4.5 5	4.5 6	
4.66667 2	4.66667 4	4.66667 7	4.66667 8	
4.83333 5	4.83333 4	4.83333 6	4.83333 7	
5 6	5 5	5 9	5 7	
5.16667 7	5.16667 2	5.16667 7	5.16667 3	
5.33333 7	5.33333 5	5.33333 3	5.33333 3	
5.5 2	5.5 4	5.5 3	5.5 6	
5.66667 5	5.66667 6	5.66667 5	5.66667 4	
5.83333 7	5.83333 6	5.83333 7	5.83333 5	
6 7	6 5	6 6	6 7	
6.16667 7	6.16667 4	6.16667 4	6.16667 7	
6.33333 7	6.33333 2	6.33333 8	6.33333 2	
6.5 4	6.5 2	6.5 4	6.5 8	
6.66667 3	6.66667 2	6.66667 5	6.66667 5	
6.83333 5	6.83333 5	6.83333 7	6.83333 7	
7 6	7 3	7 9	7 6	
7.16667 5	7.16667 4	7.16667 5	7.16667 6	
7.33333 7	7.33333 6	7.33333 4	7.33333 6	
7.5 6	7.5 2	7.5 4	7.5 7	
7.66667 5	7.66667 4	7.66667 7	7.66667 1	
7.83333 6	7.83333 3	7.83333 4	7.83333 3	
8 7	8 5	8 4	8 6	
8.16667 8	8.16667 6	8.16667 6	8.16667 8	
8.33333 5	8.33333 6	8.33333 7	8.33333 9	
8.5 3	8.5 4	8.5 7	8.5 4	
8.66667 6	8.66667 5	8.66667 6	8.66667 8	
8.83333 5	8.83333 4	8.83333 7	8.83333 8	
9 4	9 2	9 6	9 8	
9.16667 6	9.16667 2	9.16667 4	9.16667 7	
9.33333 4	9.33333 3	9.33333 5	9.33333 5	
9.5 5	9.5 5	9.5 6	9.5 6	
9.66667 9	9.66667 3	9.66667 3	9.66667 3	
9.83333 7	9.83333 6	9.83333 6	9.83333 5	
10 7	10 2	10 6	10 8	
10.1667 6	10.1667 3	10.1667 5	10.1667 7	
10.3333 3	10.3333 4	10.3333 7	10.3333 6	
10.5 6	10.5 3	10.5 6	10.5 8	
10.6667 6	10.6667 5	10.6667 8	10.6667 8	
10.8333 6	10.8333 6	10.8333 7	10.8333 4	
11 3	11 4	11 4	11 6	
11.1667 5	11.1667 3	11.1667 4	11.1667 7	
11.3333 6	11.3333 6	11.3333 6	11.3333 7	
11.5 7	11.5 5	11.5 2	11.5 5	
11.6667 4	11.6667 3	11.6667 8	11.6667 8	
11.8333 7	11.8333 4	11.8333 5	11.8333 8	
12 7	12 4	12 8	12 6	
12.1667 8	12.1667 3	12.1667 5	12.1667 7	
12.3333 5	12.3333 2	12.3333 3	12.3333 5	
12.5 4	12.5 5	12.5 8	12.5 7	
12.6667 4	12.6667 3	12.6667 9	12.6667 9	
12.8333 5	12.8333 4	12.8333 4	12.8333 4	
13 7	13 5	13 7	13 7	
13.1667 3	13.1667 2	13.1667 3	13.1667 7	
13.3333 6	13.3333 5	13.3333 3	13.3333 6	
13.5 9	13.5 3	13.5 6	13.5 7	
13.6667 5	13.6667 6	13.6667 6	13.6667 6	
13.8333 6	13.8333 6	13.8333 5	13.8333 6	
14 7	14 3	14 9	14 7	
14.1667 6	14.1667 2	14.1667 4	14.1667 8	
14.3333 5	14.3333 5	14.3333 7	14.3333 7	
14.5 5	14.5 6	14.5 4	14.5 6	
