99 0	99 0	99 0	99 0	99 0
98 33.1203	98 44.9748	98 33.295	98 20.495	98 3.61521
97 33.1368	97 45.015	97 33.3715	97 23.1613	97 3.64572
96 33.1403	96 45.0287	96 33.4615	96 23.9958	96 3.73014
95 33.1465	95 45.1545	95 33.5262	95 25.051	95 3.77242
94 33.2172	94 45.2108	94 33.546	94 25.681	94 3.88957
93 33.2612	93 45.268	93 33.6265	93 26.622	93 4.12635
92 33.2818	92 45.3013	92 33.6688	92 27.229	92 4.31093
91 33.2983	91 45.3472	91 33.72	91 27.4822	91 4.45998
90 33.3012	90 45.3745	90 33.7518	90 27.9183	90 5.0198
89 33.3047	89 45.4152	89 33.777	89 28.2883	89 17.9919
88 33.309	88 45.4367	88 33.7997	88 28.7042	89 63.3333
87 33.342	87 45.484	87 33.8073	87 29.1575	
86 33.4005	86 45.5073	86 33.8292	86 29.4108	
85 33.4233	85 45.5153	85 33.8452	85 29.7965	
84 33.4307	84 45.5387	84 33.8558	84 29.9628	
83 33.4453	83 45.5802	83 33.8788	83 30.3462	
82 33.4498	82 45.5977	82 33.9055	82 30.6263	
81 33.4528	81 45.6087	81 33.9268	81 30.761	
80 33.456	80 45.6305	80 33.9505	80 31.1408	
79 33.4605	79 45.643	79 33.9657	79 31.5232	
78 33.4745	78 45.6513	78 33.9735	78 31.6427	
77 33.5157	77 45.6625	77 34.0007	77 32.0022	
76 33.5627	76 45.7008	76 34.017	76 32.2608	
75 33.5817	75 45.7417	75 34.0222	75 32.553	
74 33.5923	74 45.7822	74 34.048	74 32.7452	
73 33.5952	73 45.7922	73 34.0685	73 33.0228	
72 33.5985	72 45.816	72 34.0887	72 33.204	
71 33.6088	71 45.8202	71 34.1022	71 33.5003	
70 33.6183	70 45.8272	70 34.1122	70 33.867	
69 33.6278	69 45.8593	69 34.1287	69 33.979	
68 33.676	68 45.9163	68 34.138	68 34.1668	
67 33.7313	67 45.94	67 34.1435	67 34.4572	
66 33.7367	66 45.9698	66 34.1647	66 34.609	
65 33.7405	65 45.9732	65 34.1853	65 34.8738	
64 33.7505	64 45.9962	64 34.2083	64 35.174	
63 33.7533	63 46.0225	63 34.2297	63 35.5765	
62 33.7573	62 46.0505	62 34.2535	62 35.7595	
61 33.7612	61 46.077	61 34.2623	61 36.1193	
60 33.7822	60 46.1065	60 34.2702	60 36.4025	
59 33.8093	59 46.1205	59 34.2792	59 36.5532	
58 33.8353	58 46.135	58 34.2887	58 36.764	
57 33.8582	57 46.1502	57 34.3007	57 36.9508	
56 33.8682	56 46.1803	56 34.3153	56 37.1817	
55 33.896	55 46.2162	55 34.3435	55 37.4027	
54 33.9067	54 46.2233	54 34.3545	54 37.5445	
53 33.9093	53 46.2698	53 34.3743	53 37.7517	
52 33.9108	52 46.2832	52 34.3922	52 38.0333	
51 33.913	51 46.3003	51 34.4198	51 38.1935	
50 33.9165	50 46.3162	50 34.4222	50 38.5742	
49 33.9257	49 46.3485	49 34.4275	49 38.7902	
48 33.9663	48 46.3822	48 34.4368	48 39.0037	
47 33.9835	47 46.4103	47 34.4447	47 39.1707	
46 34.0065	46 46.4303	46 34.46	46 39.5153	
45 34.034	45 46.4572	45 34.4762	45 39.8977	
44 34.0503	44 46.4702	44 34.4945	44 40.2202	
43 34.0558	43 46.4867	43 34.5178	43 40.4273	
42 34.0588	42 46.5003	42 34.5292	42 40.6787	
41 34.0627	41 46.5172	41 34.5468	41 41.1378	
40 34.0658	40 46.5662	40 34.5562	40 41.4863	
39 34.0712	39 46.5838	39 34.5655	39 41.8598	
38 34.0858	38 46.6063	38 34.5737	38 42.271	
37 34.1027	37 46.6222	37 34.5842	37 42.6007	
36 34.1168	36 46.6388	36 34.599	36 43.0797	
35 34.1465	35 46.6483	35 34.6092	35 43.4873	
34 34.1585	34 46.678	34 34.624	34 43.8737	
33 34.1852	33 46.7022	33 34.6338	33 44.5127	
32 34.1955	32 46.7442	32 34.6455	32 45.0103	
31 34.21	31 46.7652	31 34.6663	31 45.3618	
30 34.2122	30 46.7892	30 34.6957	30 45.7908	
29 34.2167	29 46.809	29 34.7023	29 46.0443	
28 34.225	28 46.8232	28 34.713	28 46.2663	
27 34.2405	27 46.8493	27 34.7192	27 46.867	
26 34.2742	26 46.8757	26 34.7223	26 47.2047	
25 34.281	25 46.8925	25 34.726	25 47.6863	
24 34.2987	24 46.9133	24 34.7438	24 48.1988	
23 34.324	23 46.9297	23 34.7543	23 48.6823	
22 34.3405	22 46.9622	22 34.7683	22 49.4427	
21 34.3553	21 46.991	21 34.808	21 49.8252	
20 34.3645	20 47.017	20 34.8203	20 50.3105	
19 34.366	19 47.0435	19 34.8342	19 50.9238	
18 34.3672	18 47.0567	18 34.8457	18 51.5872	
17 34.3683	17 47.0722	17 34.8527	17 52.4345	
16 34.375	16 47.1035	16 34.867	16 53.3797	
15 34.3953	15 47.1275	15 34.8732	15 55.5467	
14 34.4103	14 47.1592	14 34.8752	14 57.5117	
13 34.4462	13 47.172	13 34.8893	13 59.5418	
12 34.475	12 47.1878	12 34.8983	12 61.872	
11 34.49	11 47.2025	11 34.9128	11 62.9065	
10 34.5067	10 47.2177	10 34.9275	11 63.3333	
9 34.5157	9 47.2282	9 34.9543		
8 34.5183	8 47.2368	8 34.9775		
7 34.521	7 47.2622	7 34.9892		
6 34.5255	6 47.2765	6 34.991		
5 34.542	5 47.3098	5 34.9982		
4 34.5538	4 47.33	4 35.0115		
3 34.5742	3 47.3475	3 35.0177		
2 34.6013	2 47.363	2 35.0253		
1 34.6448	1 47.3882	1 35.0385		
0 34.6677	0 47.4612	0 35.0803		
