Tour 0|Node_0 125031|Node_1 125031|Node_2 125031|Node_3 125031|Node_4 125031|Node_5 125031|Node_6 125031|Node_7 125031|Node_8 125031|Node_9 125031|Node_10 125031|Node_11 125031|Node_12 125031|Node_13 125031|Node_14 125031|Node_15 125031|Node_16 125031|Node_17 125031|Node_18 125031|Node_19 125031|Node_20 125031|Node_21 125031|Node_22 125031|Node_23 125031|Node_24 125031|Node_25 125031|Node_26 125031|Node_27 125031|Node_28 125031|Node_29 125031|Node_30 125031|Node_31 125031|
Tour 1|Node_0 125021|Node_1 125020|Node_2 125020|Node_3 125030|Node_4 125030|Node_5 125030|Node_6 125030|Node_7 125031|Node_8 125030|Node_9 125030|Node_10 125030|Node_11 125030|Node_12 125030|Node_13 125030|Node_14 125030|Node_15 125031|Node_16 125030|Node_17 125020|Node_18 125030|Node_19 125030|Node_20 125030|Node_21 125021|Node_22 125030|Node_23 125029|Node_24 125030|Node_25 125030|Node_26 125030|Node_27 125020|Node_28 125029|Node_29 125031|Node_30 125031|Node_31 125020|
Tour 2|Node_0 125017|Node_1 125015|Node_2 125025|Node_3 125030|Node_4 125020|Node_5 125030|Node_6 125028|Node_7 125030|Node_8 125030|Node_9 125030|Node_10 125030|Node_11 125020|Node_12 125030|Node_13 125030|Node_14 125030|Node_15 125030|Node_16 125030|Node_17 125026|Node_18 125029|Node_19 125030|Node_20 125030|Node_21 125026|Node_22 125030|Node_23 125029|Node_24 125030|Node_25 125030|Node_26 125030|Node_27 125025|Node_28 125029|Node_29 125030|Node_30 125030|Node_31 125025|
Tour 3|Node_0 125014|Node_1 125012|Node_2 125027|Node_3 125030|Node_4 125025|Node_5 125030|Node_6 125029|Node_7 125030|Node_8 125029|Node_9 125030|Node_10 125021|Node_11 125025|Node_12 125029|Node_13 125029|Node_14 125030|Node_15 125021|Node_16 125021|Node_17 125026|Node_18 125029|Node_19 125028|Node_20 125030|Node_21 125027|Node_22 125029|Node_23 125029|Node_24 125030|Node_25 125030|Node_26 125030|Node_27 125026|Node_28 125029|Node_29 125030|Node_30 125030|Node_31 125026|
Tour 4|Node_0 125012|Node_1 125010|Node_2 125026|Node_3 125021|Node_4 125026|Node_5 125021|Node_6 125029|Node_7 125030|Node_8 125029|Node_9 125021|Node_10 125026|Node_11 125026|Node_12 125029|Node_13 125029|Node_14 125030|Node_15 125026|Node_16 125026|Node_17 125019|Node_18 125029|Node_19 125028|Node_20 125030|Node_21 125027|Node_22 125029|Node_23 125020|Node_24 125029|Node_25 125021|Node_26 125029|Node_27 125018|Node_28 125029|Node_29 125029|Node_30 125030|Node_31 125026|
Tour 5|Node_0 125010|Node_1 125008|Node_2 125027|Node_3 125025|Node_4 125026|Node_5 125025|Node_6 125029|Node_7 125029|Node_8 125029|Node_9 125026|Node_10 125018|Node_11 125027|Node_12 125029|Node_13 125029|Node_14 125029|Node_15 125018|Node_16 125026|Node_17 125023|Node_18 125029|Node_19 125028|Node_20 125030|Node_21 125027|Node_22 125029|Node_23 125025|Node_24 125029|Node_25 125026|Node_26 125029|Node_27 125014|Node_28 125029|Node_29 125029|Node_30 125030|Node_31 125026|
Tour 6|Node_0 125008|Node_1 125006|Node_2 125027|Node_3 125026|Node_4 125026|Node_5 125026|Node_6 125029|Node_7 125029|Node_8 125029|Node_9 125026|Node_10 125023|Node_11 125027|Node_12 125029|Node_13 125029|Node_14 125029|Node_15 125023|Node_16 125027|Node_17 125024|Node_18 125028|Node_19 125028|Node_20 125030|Node_21 125019|Node_22 125029|Node_23 125026|Node_24 125028|Node_25 125018|Node_26 125021|Node_27 125020|Node_28 125021|Node_29 125029|Node_30 125029|Node_31 125027|
Tour 7|Node_0 125006|Node_1 125004|Node_2 125027|Node_3 125026|Node_4 125026|Node_5 125018|Node_6 125029|Node_7 125029|Node_8 125029|Node_9 125026|Node_10 125024|Node_11 125027|Node_12 125029|Node_13 125027|Node_14 125021|Node_15 125024|Node_16 125026|Node_17 125024|Node_18 125027|Node_19 125028|Node_20 125029|Node_21 125024|Node_22 125029|Node_23 125026|Node_24 125028|Node_25 125023|Node_26 125017|Node_27 125022|Node_28 125025|Node_29 125029|Node_30 125029|Node_31 125018|
Tour 8|Node_0 125004|Node_1 125002|Node_2 125027|Node_3 125026|Node_4 125026|Node_5 125023|Node_6 125029|Node_7 125029|Node_8 125028|Node_9 125027|Node_10 125024|Node_11 125027|Node_12 125029|Node_13 125028|Node_14 125025|Node_15 125025|Node_16 125026|Node_17 125024|Node_18 125027|Node_19 125028|Node_20 125029|Node_21 125016|Node_22 125028|Node_23 125018|Node_24 125028|Node_25 125024|Node_26 125022|Node_27 125022|Node_28 125017|Node_29 125028|Node_30 125021|Node_31 125023|
Tour 9|Node_0 125002|Node_1 125001|Node_2 125027|Node_3 125026|Node_4 125026|Node_5 125024|Node_6 125028|Node_7 125029|Node_8 125028|Node_9 125026|Node_10 125017|Node_11 125027|Node_12 125021|Node_13 125020|Node_14 125026|Node_15 125025|Node_16 125027|Node_17 125024|Node_18 125027|Node_19 125020|Node_20 125029|Node_21 125021|Node_22 125020|Node_23 125022|Node_24 125028|Node_25 125024|Node_26 125023|Node_27 125023|Node_28 125022|Node_29 125020|Node_30 125025|Node_31 125015|
Tour 10|Node_0 125001|Node_1 124999|Node_2 125027|Node_3 125026|Node_4 125018|Node_5 125024|Node_6 125028|Node_7 125021|Node_8 125020|Node_9 125026|Node_10 125013|Node_11 125027|Node_12 125017|Node_13 125024|Node_14 125026|Node_15 125025|Node_16 125019|Node_17 125024|Node_18 125027|Node_19 125024|Node_20 125029|Node_21 125022|Node_22 125025|Node_23 125023|Node_24 125028|Node_25 125025|Node_26 125024|Node_27 125015|Node_28 125023|Node_29 125024|Node_30 125018|Node_31 125019|
